section_name,section_code,app_name_full,app_name_abbrev,app_status,decommission_date,pkg_ns,patch_ver,patch_ver_major,patch_ver_minor,patch_num,patch_id,patch_id_full,multi_ns,group_key,doc_code,doc_label,doc_layer,doc_labelling,doc_title,doc_filename,doc_slug,doc_format,doc_subject,noise_type,app_url,doc_url,companion_url
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1097,DG*5.3*1097,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1097 Deployment, Installation, Back-out, Rollback Guide",dg_5_3_p1097_dibrg.docx,dg_5_3_p1097_dibrg,docx,"Deployment, Installation, Back-out, Rollback Guide",,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1097_dibrg.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1097_dibrg.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1097,DG*5.3*1097,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1097 Deployment, Installation, Back-out, Rollback Guide",dg_5_3_p1097_dibrg.pdf,dg_5_3_p1097_dibrg,pdf,"Deployment, Installation, Back-out, Rollback Guide",,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1097_dibrg.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1097_dibrg.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1098,DG*5.3*1098,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1098 Release Notes,dg_5_3_p1098_rn.docx,dg_5_3_p1098_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1098_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1098_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1098,DG*5.3*1098,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1098 Release Notes,dg_5_3_p1098_rn.pdf,dg_5_3_p1098_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1098_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1098_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1102,DG*5.3*1102,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1102 Deployment, Installation, Back-out, and Rollback Guide",dg_5_3_p1102_dibr.docx,dg_5_3_p1102_dibr,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1102_dibr.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1102_dibr.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1102,DG*5.3*1102,,0,ADT:DG:5.3,DIBR,"Deployment, Installation, Back-Out, and Rollback Guide",patch,code,"DG*5.3*1102 Deployment, Installation, Back-out, and Rollback Guide",dg_5_3_p1102_dibr.pdf,dg_5_3_p1102_dibr,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1102_dibr.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_p1102_dibr.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1103,DG*5.3*1103,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1103 Release Notes,dg_5_3_1103_rn.docx,dg_5_3_1103_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1103_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1103_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1103,DG*5.3*1103,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1103 Release Notes,dg_5_3_1103_rn.pdf,dg_5_3_1103_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1103_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1103_rn.docx
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1104,DG*5.3*1104,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1104 Release Notes,dg_5_3_1104_rn.docx,dg_5_3_1104_rn,docx,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1104_rn.docx,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1104_rn.pdf
Clinical,CLI,Admission Discharge Transfer,ADT,active,,DG,5.3,5,3,1104,DG*5.3*1104,,0,ADT:DG:5.3,RN,Release Notes,patch,code,DG*5.3*1104 Release Notes,dg_5_3_1104_rn.pdf,dg_5_3_1104_rn,pdf,,,https://www.va.gov/vdl/application.asp?appid=55,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1104_rn.pdf,https://www.va.gov/vdl/documents/Clinical/Admis_Disch_Transfer_(ADT)/dg_5_3_1104_rn.docx
